index,source_index,raw_gripper_m,threshold_m,command_gripper_m,feedback_gripper_m
404,376,0.057363067,0.035000000,0.070000000,0.069400000
407,376,0.057313424,0.035000000,0.070000000,0.069400000
410,376,0.057119414,0.035000000,0.070000000,0.069400000
413,376,0.056694895,0.035000000,0.070000000,0.069400000
416,376,0.056872472,0.035000000,0.070000000,0.069400000
420,376,0.056801882,0.035000000,0.070000000,0.069400000
424,376,0.056770194,0.035000000,0.070000000,0.069400000
427,376,0.056849137,0.035000000,0.070000000,0.069400000
430,376,0.056836337,0.035000000,0.070000000,0.069400000
435,376,0.057443064,0.035000000,0.070000000,0.069400000
438,376,0.057632141,0.035000000,0.070000000,0.069400000
441,376,0.057644278,0.035000000,0.070000000,0.069400000
444,376,0.057145651,0.035000000,0.070000000,0.069400000
448,376,0.057263408,0.035000000,0.070000000,0.069500000
452,376,0.057265230,0.035000000,0.070000000,0.069500000
455,376,0.056968905,0.035000000,0.070000000,0.069500000
459,376,0.057185259,0.035000000,0.070000000,0.069500000
476,464,0.057413474,0.035000000,0.070000000,0.069500000
486,464,0.057426006,0.035000000,0.070000000,0.069500000
490,464,0.057613097,0.035000000,0.070000000,0.069500000
494,464,0.057415627,0.035000000,0.070000000,0.069500000
499,464,0.057436742,0.035000000,0.070000000,0.069500000
502,464,0.056941256,0.035000000,0.070000000,0.069500000
505,464,0.057251096,0.035000000,0.070000000,0.069500000
509,464,0.056985606,0.035000000,0.070000000,0.069500000
512,464,0.056806710,0.035000000,0.070000000,0.069500000
516,464,0.056913726,0.035000000,0.070000000,0.069500000
519,464,0.056802362,0.035000000,0.070000000,0.069500000
523,464,0.056595061,0.035000000,0.070000000,0.069500000
527,464,0.056462042,0.035000000,0.070000000,0.069500000
530,464,0.056765579,0.035000000,0.070000000,0.069500000
535,464,0.056921221,0.035000000,0.070000000,0.069500000
538,464,0.056937527,0.035000000,0.070000000,0.069500000
541,464,0.056685708,0.035000000,0.070000000,0.069500000
547,464,0.056573816,0.035000000,0.070000000,0.069500000
552,464,0.056592483,0.035000000,0.070000000,0.069500000
555,464,0.056500696,0.035000000,0.070000000,0.069500000
569,558,0.055393051,0.035000000,0.070000000,0.069500000
576,558,0.055502467,0.035000000,0.070000000,0.069500000
579,558,0.055794969,0.035000000,0.070000000,0.069500000
582,558,0.055548020,0.035000000,0.070000000,0.069500000
587,558,0.055376891,0.035000000,0.070000000,0.069500000
590,558,0.056343153,0.035000000,0.070000000,0.069500000
594,558,0.056056406,0.035000000,0.070000000,0.069500000
597,558,0.056431383,0.035000000,0.070000000,0.069500000
600,558,0.056600619,0.035000000,0.070000000,0.069500000
603,558,0.056316271,0.035000000,0.070000000,0.069500000
606,558,0.056389607,0.035000000,0.070000000,0.069500000
609,558,0.056291465,0.035000000,0.070000000,0.069500000
612,558,0.056164622,0.035000000,0.070000000,0.069500000
615,558,0.056252807,0.035000000,0.070000000,0.069500000
619,558,0.056248236,0.035000000,0.070000000,0.069500000
622,558,0.056306303,0.035000000,0.070000000,0.069500000
625,558,0.056189656,0.035000000,0.070000000,0.069500000
628,558,0.056115363,0.035000000,0.070000000,0.069500000
631,558,0.055842493,0.035000000,0.070000000,0.069500000
636,558,0.055824656,0.035000000,0.070000000,0.069500000
651,639,0.056478694,0.035000000,0.070000000,0.069500000
659,639,0.056333404,0.035000000,0.070000000,0.069500000
662,639,0.056204483,0.035000000,0.070000000,0.069500000
665,639,0.056362882,0.035000000,0.070000000,0.069500000
668,639,0.055912137,0.035000000,0.070000000,0.069500000
671,639,0.054884672,0.035000000,0.070000000,0.069500000
